ParticipantID 3 BackgroundNoise Crowd 10
Freq(Hz),Volume,nHeard,nNotHeard
2000.0,20.95,2,8,
2000.0,24.26,7,3,
2000.0,22.61,3,7,
2000.0,17.65,2,8,
2000.0,25.92,6,4,
2000.0,19.30,3,7,
200.0,137.25,4,6,
200.0,104.15,3,7,
200.0,170.34,8,2,
200.0,120.70,5,5,
200.0,186.88,9,1,
200.0,153.79,10,0,
1000.0,31.75,0,10,
1000.0,21.50,1,9,
1000.0,24.92,2,8,
1000.0,28.33,1,9,
1000.0,38.58,2,8,
1000.0,42.00,3,7,
1000.0,35.17,0,10,
500.0,71.29,2,8,
500.0,91.34,1,9,
500.0,77.98,2,8,
500.0,84.66,0,10,
500.0,98.03,1,9,
500.0,104.71,4,6,
4000.0,14.18,2,8,
4000.0,20.01,10,0,
4000.0,12.23,2,8,
4000.0,16.12,2,8,
4000.0,18.06,7,3,
4000.0,21.95,10,0,
