ParticipantID 2 BackgroundNoise Crowd 10
Freq(Hz),Volume,nHeard,nNotHeard
2000.0,9.69,0,10,
2000.0,11.77,1,9,
2000.0,8.65,1,9,
2000.0,7.60,1,9,
2000.0,10.73,3,7,
2000.0,6.56,1,9,
200.0,1.58,2,8,
200.0,1.45,0,10,
200.0,1.86,0,10,
200.0,1.72,5,5,
200.0,2.13,1,9,
200.0,1.99,1,9,
1000.0,26.35,0,10,
1000.0,17.72,2,8,
1000.0,20.60,1,9,
1000.0,14.85,2,8,
1000.0,11.97,2,8,
1000.0,23.48,0,10,
4000.0,1.62,4,6,
4000.0,1.48,3,7,
4000.0,1.90,0,10,
4000.0,2.04,1,9,
4000.0,1.76,0,10,
4000.0,2.18,1,9,
500.0,51.15,2,8,
500.0,83.66,7,3,
500.0,67.40,5,5,
500.0,75.53,5,5,
500.0,99.91,6,4,
500.0,91.78,7,3,
500.0,59.28,6,4,
