ParticipantID 10 BackgroundNoise White 3
Calibration:
Frequency: 2000.0
Volume 68.48: P(heard) = 0.0000
Volume 78.46: P(heard) = 0.1667
Volume 88.45: P(heard) = 0.5000
Volume 98.43: P(heard) = 0.3333
Volume 108.42: P(heard) = 0.6667
Volume 118.41: P(heard) = 1.0000
Frequency: 200.0
Volume 48.26: P(heard) = 0.0000
Volume 63.79: P(heard) = 0.3333
Volume 79.31: P(heard) = 0.6667
Volume 94.83: P(heard) = 1.0000
Volume 110.35: P(heard) = 1.0000
Volume 125.88: P(heard) = 1.0000
Frequency: 1000.0
Volume 49.46: P(heard) = 0.0000
Volume 56.67: P(heard) = 0.1667
Volume 63.89: P(heard) = 0.3333
Volume 71.10: P(heard) = 0.1667
Volume 78.31: P(heard) = 0.5000
Volume 85.53: P(heard) = 0.6667
Frequency: 4000.0
Volume 97.33: P(heard) = 0.0000
Volume 119.12: P(heard) = 0.0000
Volume 140.92: P(heard) = 0.1667
Volume 162.72: P(heard) = 0.6667
Volume 184.52: P(heard) = 0.8333
Volume 206.31: P(heard) = 0.8333
Frequency: 500.0
Volume 30.39: P(heard) = 0.0000
Volume 34.82: P(heard) = 0.0000
Volume 39.25: P(heard) = 0.0000
Volume 43.68: P(heard) = 0.0000
Volume 48.11: P(heard) = 0.0000
Volume 52.54: P(heard) = 0.1667

### Sample Size = 1 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.70,0.68,0.72,0.10,0.02,10,16,false,
220.00,Up,68.19,0.00,0.76,0.74,0.79,0.10,0.00,12,17,false,
3520.00,Down,151.82,1.00,0.71,0.62,0.80,0.10,0.00,11,16,false,
880.00,Down,48.90,0.05,0.07,0.04,0.11,0.10,0.63,0,3,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.20,0.23,0.18,0.10,0.00,1,6,false,
220.00,Up,68.19,0.00,0.67,0.70,0.65,0.10,0.00,10,16,false,
3520.00,Down,151.82,1.00,0.64,0.58,0.70,0.10,0.00,9,15,false,
880.00,Down,48.90,0.05,0.01,0.01,0.02,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.74,0.68,0.80,0.10,0.08,11,17,false,
220.00,Up,68.19,0.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.07,0.04,0.11,0.10,0.63,0,3,false,

Calibration Freqs: [500.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.81,0.83,0.80,0.10,0.26,13,18,false,
220.00,Up,68.19,0.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.14,0.13,0.15,0.10,0.26,1,5,false,

Calibration Freqs: [1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.20,0.23,0.18,0.10,0.00,1,6,false,
220.00,Up,68.19,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,
3520.00,Down,151.82,1.00,0.64,0.58,0.70,0.10,0.00,9,15,false,
880.00,Down,48.90,0.05,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.30,0.30,0.30,0.10,0.00,3,9,false,
220.00,Up,68.19,0.00,0.67,0.70,0.65,0.10,0.00,10,16,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.01,0.01,0.02,0.10,0.00,0,0,false,

### Sample Size = 3 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.34,0.38,0.30,0.10,0.00,3,9,false,
220.00,Up,68.19,0.00,0.33,0.33,0.33,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,0.61,0.49,0.73,0.10,0.00,9,15,false,
880.00,Down,48.90,0.05,0.02,0.01,0.04,0.10,0.38,0,1,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.36,0.40,0.32,0.10,0.00,4,10,false,
220.00,Up,68.19,0.00,0.32,0.33,0.31,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,0.52,0.44,0.60,0.10,0.00,7,13,false,
880.00,Down,48.90,0.05,0.00,0.00,0.01,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.36,0.38,0.33,0.10,0.00,4,10,false,
220.00,Up,68.19,0.00,0.33,0.33,0.33,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.02,0.01,0.04,0.10,0.38,0,1,false,

Calibration Freqs: [500.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.33,0.33,0.33,0.10,0.00,3,9,false,
220.00,Up,68.19,0.00,0.33,0.33,0.33,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.05,0.04,0.05,0.10,0.57,0,2,false,

Calibration Freqs: [1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.36,0.40,0.32,0.10,0.00,4,10,false,
220.00,Up,68.19,0.00,0.13,0.13,0.13,0.10,0.00,0,4,false,
3520.00,Down,151.82,1.00,0.52,0.44,0.60,0.10,0.00,7,13,false,
880.00,Down,48.90,0.05,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.54,0.54,0.54,0.10,0.00,7,13,false,
220.00,Up,68.19,0.00,0.32,0.33,0.31,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.00,0.00,0.01,0.10,0.00,0,0,false,

### Sample Size = 5 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.31,0.37,0.25,0.10,0.00,3,9,false,
220.00,Up,68.19,0.00,0.30,0.31,0.29,0.10,0.00,3,8,false,
3520.00,Down,151.82,1.00,0.65,0.54,0.76,0.10,0.00,9,15,false,
880.00,Down,48.90,0.05,0.01,0.01,0.02,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.44,0.49,0.40,0.10,0.00,5,12,false,
220.00,Up,68.19,0.00,0.31,0.31,0.31,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,0.51,0.46,0.56,0.10,0.00,7,13,false,
880.00,Down,48.90,0.05,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.33,0.37,0.28,0.10,0.00,3,9,false,
220.00,Up,68.19,0.00,0.20,0.20,0.20,0.10,0.00,1,6,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.01,0.01,0.02,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.28,0.27,0.28,0.10,0.00,2,8,false,
220.00,Up,68.19,0.00,0.20,0.20,0.20,0.10,0.00,1,6,false,
3520.00,Down,151.82,1.00,1.00,1.00,1.00,0.10,0.00,20,20,false,
880.00,Down,48.90,0.05,0.03,0.03,0.03,0.10,0.38,0,1,false,

Calibration Freqs: [1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.44,0.49,0.40,0.10,0.00,5,12,false,
220.00,Up,68.19,0.00,0.28,0.28,0.28,0.10,0.00,2,8,false,
3520.00,Down,151.82,1.00,0.51,0.46,0.56,0.10,0.00,7,13,false,
880.00,Down,48.90,0.05,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
1760.00,Up,80.51,0.95,0.66,0.66,0.66,0.10,0.02,10,16,false,
220.00,Up,68.19,0.00,0.31,0.31,0.31,0.10,0.00,3,9,false,
3520.00,Down,151.82,1.00,0.80,0.80,0.80,0.10,0.00,13,18,false,
880.00,Down,48.90,0.05,0.00,0.00,0.00,0.10,0.00,0,0,false,

### Sample Size = 6 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
