ParticipantID: 1 NoiseType White 3
Calibration test results:
Frequency: 200.0
Volume 44.43: P(heard) = 0.0000
Volume 81.16: P(heard) = 0.5000
Volume 117.90: P(heard) = 1.0000
Volume 154.63: P(heard) = 0.8000
Volume 191.36: P(heard) = 0.9000
Volume 228.10: P(heard) = 0.9000
Frequency: 2000.0
Volume 42.66: P(heard) = 0.0000
Volume 49.43: P(heard) = 0.0000
Volume 56.21: P(heard) = 0.0000
Volume 62.98: P(heard) = 0.0000
Volume 69.76: P(heard) = 0.0000
Volume 76.54: P(heard) = 0.0000
Frequency: 1000.0
Volume 76.26: P(heard) = 0.1000
Volume 83.41: P(heard) = 0.3000
Volume 90.56: P(heard) = 0.5000
Volume 97.71: P(heard) = 0.4000
Volume 104.86: P(heard) = 0.5000
Volume 112.01: P(heard) = 0.7000
Frequency: 500.0
Volume 45.52: P(heard) = 0.0000
Volume 56.46: P(heard) = 0.0000
Volume 67.40: P(heard) = 0.2000
Volume 78.33: P(heard) = 0.2000
Volume 89.27: P(heard) = 0.5000
Volume 100.21: P(heard) = 0.5000
Frequency: 4000.0
Volume 69.52: P(heard) = 0.0000
Volume 93.29: P(heard) = 0.1000
Volume 117.06: P(heard) = 0.0000
Volume 140.83: P(heard) = 0.4000
Volume 164.61: P(heard) = 0.3000
Volume 188.38: P(heard) = 0.8000

### Sample Size = 1 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.00,0.10,0.00,0,0,false,
880.00,71.51,0.05,0.76,0.10,0.00,12,17,false,
1760.00,78.62,0.05,0.16,0.10,0.26,1,5,false,
220.00,80.98,0.50,0.94,0.10,0.00,17,19,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.16,0.10,0.06,1,5,false,
880.00,71.51,0.05,0.96,0.10,0.00,18,19,false,
1760.00,78.62,0.05,0.50,0.10,0.00,6,13,false,
220.00,80.98,0.50,0.98,0.10,0.00,18,19,true,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.00,0.10,0.00,0,0,false,
880.00,71.51,0.05,0.76,0.10,0.00,12,17,false,
1760.00,78.62,0.05,0.16,0.10,0.26,1,5,false,
220.00,80.98,0.50,0.24,0.10,0.13,2,7,false,

Calibration Freqs: [500.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.00,0.10,0.00,0,0,false,
880.00,71.51,0.05,0.00,0.10,0.00,0,0,false,
1760.00,78.62,0.05,0.00,0.10,0.00,0,0,false,
220.00,80.98,0.50,0.24,0.10,0.13,2,7,false,

Calibration Freqs: [1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.16,0.10,0.06,1,5,false,
880.00,71.51,0.05,1.00,0.10,0.00,20,20,false,
1760.00,78.62,0.05,0.50,0.10,0.00,6,13,false,
220.00,80.98,0.50,0.34,0.10,0.41,3,9,false,

Calibration Freqs: [200.0, 1000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,1.00,0.10,0.00,20,20,false,
880.00,71.51,0.05,0.96,0.10,0.00,18,19,false,
1760.00,78.62,0.05,0.67,0.10,0.00,10,16,false,
220.00,80.98,0.50,0.98,0.10,0.00,18,19,true,

### Sample Size = 3 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.43,0.10,0.81,5,11,false,
880.00,71.51,0.05,0.30,0.10,0.02,3,9,false,
1760.00,78.62,0.05,0.05,0.10,0.57,0,2,false,
220.00,80.98,0.50,0.93,0.10,0.00,17,19,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.58,0.10,0.58,8,14,false,
880.00,71.51,0.05,0.39,0.10,0.00,4,11,false,
1760.00,78.62,0.05,0.17,0.10,0.26,1,5,false,
220.00,80.98,0.50,0.97,0.10,0.00,18,19,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.00,0.10,0.00,0,0,false,
880.00,71.51,0.05,0.30,0.10,0.02,3,9,false,
1760.00,78.62,0.05,0.05,0.10,0.57,0,2,false,
220.00,80.98,0.50,0.08,0.10,0.00,0,3,false,

Calibration Freqs: [500.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.00,0.10,0.00,0,0,false,
880.00,71.51,0.05,0.16,0.10,0.26,1,5,false,
1760.00,78.62,0.05,0.00,0.10,0.00,0,0,false,
220.00,80.98,0.50,0.08,0.10,0.00,0,3,false,

Calibration Freqs: [1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.58,0.10,0.58,8,14,false,
880.00,71.51,0.05,0.33,0.10,0.02,3,9,false,
1760.00,78.62,0.05,0.17,0.10,0.26,1,5,false,
220.00,80.98,0.50,0.11,0.10,0.01,0,4,false,

Calibration Freqs: [200.0, 1000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.67,0.10,0.25,10,16,false,
880.00,71.51,0.05,0.39,0.10,0.00,4,11,false,
1760.00,78.62,0.05,0.22,0.10,0.08,2,7,false,
220.00,80.98,0.50,0.97,0.10,0.00,18,19,false,

### Sample Size = 5 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.41,0.10,0.81,5,11,false,
880.00,71.51,0.05,0.20,0.10,0.26,1,6,false,
1760.00,78.62,0.05,0.05,0.10,0.57,0,2,false,
220.00,80.98,0.50,0.76,0.10,0.13,12,17,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,147.99,0.45,0.58,0.10,0.58,8,14,false,
