ParticipantID 1 BackgroundNoise Crowd 10
Freq(Hz),Volume,nHeard,nNotHeard
2000.0,15.07,1,9,
2000.0,33.16,7,3,
2000.0,29.54,7,3,
2000.0,22.31,7,3,
2000.0,18.69,0,10,
2000.0,25.92,6,4,
200.0,76.62,0,10,
200.0,102.82,3,7,
200.0,207.63,8,2,
200.0,155.23,6,4,
200.0,181.43,7,3,
200.0,129.03,3,7,
1000.0,62.51,9,1,
1000.0,92.65,7,3,
1000.0,77.58,6,4,
1000.0,47.44,0,10,
1000.0,70.04,9,1,
1000.0,85.11,9,1,
1000.0,54.97,4,6,
4000.0,10.20,3,7,
4000.0,13.46,2,8,
4000.0,19.98,8,2,
4000.0,23.24,9,1,
4000.0,16.72,9,1,
4000.0,6.95,0,10,
500.0,228.79,9,1,
500.0,128.91,2,8,
500.0,153.88,6,4,
500.0,178.85,8,2,
500.0,203.82,9,1,
500.0,103.94,4,6,
