ParticipantID 5 BackgroundNoise White 3
Freq(Hz),Volume,nHeard,nNotHeard
2000.0,148.22,7,3,
2000.0,108.85,1,9,
2000.0,135.09,6,4,
2000.0,121.97,5,5,
2000.0,95.73,3,7,
2000.0,82.61,1,9,
200.0,277.33,10,0,
200.0,102.35,6,4,
200.0,172.34,8,2,
200.0,137.34,8,2,
200.0,207.34,9,1,
200.0,242.34,8,2,
1000.0,125.59,10,0,
1000.0,151.09,10,0,
1000.0,176.59,10,0,
1000.0,100.08,5,5,
1000.0,202.09,10,0,
1000.0,74.58,3,7,
500.0,157.65,10,0,
500.0,106.36,10,0,
500.0,119.18,10,0,
500.0,132.01,10,0,
500.0,80.72,9,1,
500.0,144.83,10,0,
500.0,93.54,7,3,
4000.0,151.37,5,5,
4000.0,122.38,1,9,
4000.0,112.72,1,9,
4000.0,132.04,4,6,
4000.0,103.06,0,10,
4000.0,141.70,4,6,
