ParticipantID 8 BackgroundNoise White 3
Calibration:
Frequency: 200.0
Volume 55.32: P(heard) = 0.1667
Volume 73.11: P(heard) = 0.5000
Volume 90.90: P(heard) = 0.8333
Volume 108.69: P(heard) = 1.0000
Volume 126.48: P(heard) = 1.0000
Volume 144.28: P(heard) = 1.0000
Frequency: 2000.0
Volume 106.55: P(heard) = 0.5000
Volume 130.41: P(heard) = 0.8333
Volume 154.27: P(heard) = 1.0000
Volume 178.14: P(heard) = 1.0000
Volume 202.00: P(heard) = 1.0000
Volume 225.86: P(heard) = 1.0000
Frequency: 1000.0
Volume 73.49: P(heard) = 0.1667
Volume 97.13: P(heard) = 0.6667
Volume 120.76: P(heard) = 0.8333
Volume 144.40: P(heard) = 1.0000
Volume 168.03: P(heard) = 1.0000
Volume 191.67: P(heard) = 1.0000
Frequency: 4000.0
Volume 104.24: P(heard) = 0.1667
Volume 150.48: P(heard) = 0.5000
Volume 196.73: P(heard) = 0.8333
Volume 242.98: P(heard) = 1.0000
Volume 289.23: P(heard) = 1.0000
Volume 335.48: P(heard) = 1.0000
Frequency: 500.0
Volume 60.19: P(heard) = 0.3333
Volume 73.68: P(heard) = 0.6667
Volume 87.16: P(heard) = 1.0000
Volume 100.64: P(heard) = 1.0000
Volume 114.12: P(heard) = 0.8333
Volume 127.60: P(heard) = 1.0000

### Sample Size = 1 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.95,1.00,0.91,0.10,0.57,17,19,false,
1760.00,Up,142.03,0.95,0.96,1.00,0.92,0.10,0.38,18,19,false,
3520.00,Down,130.42,0.95,0.67,0.57,0.77,0.10,0.02,10,16,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
1760.00,Up,142.03,0.95,0.73,0.79,0.67,0.10,0.08,11,17,false,
3520.00,Down,130.42,0.95,0.59,0.52,0.66,0.10,0.00,8,14,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.95,1.00,0.91,0.10,0.57,17,19,false,
1760.00,Up,142.03,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,130.42,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.70,0.76,0.63,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,130.42,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
1760.00,Up,142.03,0.95,0.73,0.79,0.67,0.10,0.08,11,17,false,
3520.00,Down,130.42,0.95,0.59,0.52,0.66,0.10,0.00,8,14,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
1760.00,Up,142.03,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,130.42,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

### Sample Size = 3 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.69,0.75,0.64,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,0.96,0.99,0.93,0.10,0.38,18,19,false,
3520.00,Down,130.42,0.95,0.61,0.49,0.73,0.10,0.00,9,15,false,
220.00,Down,55.32,0.00,0.32,0.31,0.33,0.10,0.00,3,9,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.69,0.72,0.66,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,0.76,0.81,0.71,0.10,0.08,12,17,false,
3520.00,Down,130.42,0.95,0.46,0.41,0.52,0.10,0.00,6,12,false,
220.00,Down,55.32,0.00,0.33,0.33,0.33,0.10,0.00,3,9,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.69,0.75,0.64,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,1.00,0.99,1.00,0.10,0.00,19,19,true,
3520.00,Down,130.42,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [500.0, 2000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.80,0.84,0.75,0.10,0.26,13,18,false,
1760.00,Up,142.03,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
3520.00,Down,130.42,0.95,1.00,1.00,1.00,0.10,0.00,20,20,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [1000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.66,0.67,0.66,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,0.76,0.81,0.71,0.10,0.08,12,17,false,
3520.00,Down,130.42,0.95,0.46,0.41,0.52,0.10,0.00,6,12,false,
220.00,Down,55.32,0.00,0.00,0.00,0.00,0.10,0.00,0,0,false,

Calibration Freqs: [200.0, 1000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.69,0.72,0.67,0.10,0.02,10,16,false,
1760.00,Up,142.03,0.95,0.97,0.97,0.97,0.10,0.38,18,19,false,
3520.00,Down,130.42,0.95,0.80,0.80,0.80,0.10,0.26,13,18,false,
220.00,Down,55.32,0.00,0.33,0.33,0.33,0.10,0.00,3,9,false,

### Sample Size = 5 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Freq1(Hz),Direction,Volume,confProb,modelProb,f1Prob,f2Prob,alpha,beta,critLow,critHigh,actual,sigDifferent
880.00,Up,108.24,0.95,0.71,0.74,0.69,0.10,0.02,11,16,false,
1760.00,Up,142.03,0.95,0.97,1.00,0.94,0.10,0.38,18,19,false,
3520.00,Down,130.42,0.95,0.60,0.48,0.72,0.10,0.00,8,14,false,
220.00,Down,55.32,0.00,0.40,0.40,0.40,0.10,0.00,4,11,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
