ParticipantID 10 BackgroundNoise Crowd 10
Freq(Hz),Volume,nHeard,nNotHeard
2000.0,39.39,6,0,
2000.0,29.68,6,0,
2000.0,34.54,6,0,
2000.0,19.96,4,2,
2000.0,24.82,6,0,
2000.0,15.10,2,4,
200.0,76.59,0,6,
200.0,66.84,1,5,
200.0,96.08,1,5,
200.0,105.83,3,3,
200.0,86.33,0,6,
200.0,115.58,0,6,
1000.0,42.00,0,6,
1000.0,82.52,6,0,
1000.0,123.05,6,0,
1000.0,96.03,5,1,
1000.0,109.54,6,0,
1000.0,69.02,6,0,
1000.0,55.51,4,2,
4000.0,19.08,6,0,
4000.0,12.05,2,4,
4000.0,13.81,2,4,
4000.0,15.57,5,1,
4000.0,20.84,5,1,
4000.0,22.60,5,1,
4000.0,17.32,6,0,
500.0,116.52,3,3,
500.0,92.88,1,5,
500.0,128.34,4,2,
500.0,151.98,3,3,
500.0,104.70,4,2,
500.0,81.06,1,5,
500.0,140.16,5,1,
